"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"35",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"unif","t",100,0.461718,0.626878,-0.16516,-0.147939222178128,1.21347984237984,0.149958640231058,0.668811849013315,0.155173298508492,0,0.966,0,15.168997776141,NA,0.542883523318981,0.150944191570057,0.738633130152649
"36",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"unif","t",100,0.461016,0.62521,-0.164194,-0.162331946701385,0.964090539485486,0.0394246671471983,0.180106966261,0.036496589389728,0,0.928,0,16.6096404744368,NA,0.2,0.0394686156604746,0.191170386167109
"37",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"null","lognormal",100,0.95364,0.953582,5.80000000000025e-05,0.0240727572437621,4.19695,0.190003782213866,3.21819903081651,0.180894330912418,0,0.935649899396378,-0.006,15.168997776141,NA,0.542883523318981,0.191515393169978,4.60724259231575
"38",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null","lognormal",100,0.953118,0.95356,-0.000441999999999942,0.030845283157726,1.48637221858583,0.0441038449260618,0.524027373203354,0.042370118758062,0,0.87,0,16.6096404744368,NA,0.2,0.0540744230172993,0.786407697441779
"39",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"cauchy","lognormal",100,0.550594,0.638034,-0.08744,-0.0552498969681389,1.79105238095238,0.144670096356429,1.68261789400004,0.14865103873098,0,0.947722334004024,-0.006,15.168997776141,NA,0.542883523318981,0.148208095301776,1.90398984314782
"40",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy","lognormal",100,0.549896,0.636182,-0.086286,-0.0787595226300268,1.04162338398577,0.0360573726279574,0.250454261226908,0.0352781509859389,0,0.938,0,16.6096404744368,NA,0.2,0.0368345216126406,0.287722991535779
"41",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"realistic","lognormal",100,0.432456,0.5584,-0.125944,-0.102652366136945,1.2617223998224,0.141827462485378,0.958627935773888,0.150536777411218,0,0.962,0,15.168997776141,NA,0.542883523318981,0.143727274109864,1.02460266141533
"42",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic","lognormal",100,0.432718,0.558772,-0.126054,-0.12268323488699,0.940782942114558,0.0345218678983311,0.215072223803472,0.0350577499091707,0,0.954,0,16.6096404744368,NA,0.2,0.0346860407172238,0.218904796245515
"43",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"large","lognormal",100,0.219816,0.534464,-0.314648,-0.258466561316323,1.11963153936707,0.145723074238874,0.619560462281564,0.145428898309897,0,0.954,0,15.168997776141,NA,0.542883523318981,0.156178002350511,0.657337949237142
"44",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large","lognormal",100,0.219874,0.533898,-0.314024,-0.286673892310068,0.965277861844924,0.0362234071765859,0.152877683750426,0.0361921654442739,0,0.866,0,16.6096404744368,NA,0.2,0.0453890253049304,0.166231120539868
